"Tipo","Mensaje","Archivo","Linea","Severidad","Estado","Regla"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AuthService.cs","74","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AuthService.cs","81","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AuthService.cs","85","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AuthService.cs","135","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AuthService.cs","167","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/FacturaService.cs","85","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/FacturaService.cs","112","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/FacturaService.cs","157","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/FacturaService.cs","291","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/FacturaService.cs","295","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs","74","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs","103","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs","139","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs","144","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs","162","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs","166","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs","190","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs","194","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs","217","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ServicioService.cs","74","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ServicioService.cs","100","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ServicioService.cs","133","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ServicioService.cs","138","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ServicioService.cs","156","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ServicioService.cs","160","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs","102","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs","130","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs","157","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs","224","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs","228","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs","249","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs","253","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs","270","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs","274","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/StripePaymentService.cs","100","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"BUG","Do not check floating point equality with exact values, use a range instead.","ProyectoWeb/Models/Factura.cs","92","MAJOR","OPEN","csharpsquid:S1244"
"BUG","Add a <title> tag to this page.","ProyectoWeb/Pages/_Host.cshtml","8","MAJOR","OPEN","Web:PageWithoutTitleCheck"
"BUG","Do not check floating point equality with exact values, use a range instead.","ProyectoWeb/Services/FacturaService.cs","273","MAJOR","OPEN","csharpsquid:S1244"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/AbonoController.cs","37","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/AbonoController.cs","56","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/AbonoController.cs","79","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/AuthController.cs","96","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","64","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","69","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","77","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","108","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","113","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","141","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","157","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","165","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","170","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","190","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","196","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","204","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs","209","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/FacturaController.cs","61","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/FacturaController.cs","84","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/FacturaController.cs","98","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/FacturaController.cs","113","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/FacturaController.cs","177","MAJOR","OPEN","csharpsquid:S2629"
